country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,NA,NA,NA,NA,4.98746044198543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2522739777769,NA,NA,NA,NA,NA,NA,94.6818142536036,NA,NA,95.6914799552
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8399150765954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0750821210699,NA,NA,NA,63.9187851604192,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1944882845696,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.60846
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7149300857014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.42
Argentina,NA,NA,NA,NA,NA,93.5808944919856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0413584906962,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1934107782587,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.89042
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1501361103865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1610655332609,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.45376
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.0713598240066,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7197772630495,NA
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.174784596448,NA,NA,NA,NA,NA,NA,NA,99.3978758397681,NA,99.6821522831115,NA,NA
